        10    1.0213560226E-02    1.0750299340E+00    8.5763038367E-01    1.1607864284E+00
        20    2.0547672519E-02    8.9315817296E-01    7.9518989898E-01    1.2497928227E+00
        30    3.1048228843E-02    7.8802410183E-01    7.5212176524E-01    1.3129192827E+00
        40    4.1688188758E-02    7.2982884664E-01    7.3643179819E-01    1.3569528952E+00
        50    5.2414283645E-02    7.0530380658E-01    7.0941017303E-01    1.3783979534E+00
        60    6.3224272907E-02    6.7033451537E-01    6.9034575031E-01    1.4378615763E+00
        70    7.4162252969E-02    6.6880035227E-01    6.6385289518E-01    1.4744607823E+00
        80    8.5287885318E-02    6.6981862727E-01    6.3586438027E-01    1.4625703083E+00
        90    9.6440115622E-02    6.6300745530E-01    6.3021411259E-01    1.4060200760E+00
