    2.5000000000E-03    1.5544186753E-04    1.2278211070E-07    5.5722203974E-05   -1.4322324502E-06
    5.0000000000E-03    5.9867935948E-04    8.5293334386E-07    1.8848635876E-04   -7.8275270721E-06
    7.5000000000E-03    1.3252716481E-03    3.0814889162E-06    3.6522659012E-04   -2.3205189289E-05
    1.0000000000E-02    2.3194796568E-03    7.8544573332E-06    5.6401451551E-04   -5.1389373108E-05
    1.2500000000E-02    3.5462342935E-03    1.6012669741E-05    7.7028755590E-04   -9.4758411971E-05
    1.5000000000E-02    4.9504663844E-03    2.8189548211E-05    9.7512407506E-04   -1.5406048116E-04
    1.7500000000E-02    6.4632790890E-03    4.4768104856E-05    1.1732503693E-03   -2.2829430338E-04
    2.0000000000E-02    8.0101227008E-03    6.5893835575E-05    1.3619776469E-03   -3.1504585391E-04
    2.2500000000E-02    9.5212427184E-03    9.1616822998E-05    1.5403756013E-03   -4.1110343776E-04
    2.5000000000E-02    1.0939527729E-02    1.2175032743E-04    1.7082809386E-03   -5.1288645442E-04
    2.7500000000E-02    1.2223581684E-02    1.5623224184E-04    1.8662418363E-03   -6.1718948016E-04
    3.0000000000E-02    1.3347938911E-02    1.9467690070E-04    2.0147044560E-03   -7.2094945971E-04
    3.2500000000E-02    1.4301199731E-02    2.3700090078E-04    2.1544538738E-03   -8.2204497977E-04
    3.5000000000E-02    1.5082927682E-02    2.8269147289E-04    2.2858407829E-03   -9.1850425902E-04
    3.7500000000E-02    1.5702180278E-02    3.3163083674E-04    2.4095619298E-03   -1.0094204616E-03
    4.0000000000E-02    1.6171899179E-02    3.8321023389E-04    2.5257417412E-03   -1.0938274806E-03
    4.2500000000E-02    1.6508349391E-02    4.3733770069E-04    2.6348938540E-03   -1.1717267100E-03
    4.5000000000E-02    1.6727712050E-02    4.9336826720E-04    2.7370254884E-03   -1.2427686911E-03
    4.7500000000E-02    1.6845817583E-02    5.5123554877E-04    2.8325266617E-03   -1.3073920711E-03
    5.0000000000E-02    1.6878885678E-02    6.1028567010E-04    2.9214580605E-03   -1.3656328807E-03
    5.2500000000E-02    1.6841350857E-02    6.7040930800E-04    3.0042194126E-03   -1.4181489828E-03
    5.5000000000E-02    1.6745306602E-02    7.3107162543E-04    3.0809153208E-03   -1.4651350329E-03
    5.7500000000E-02    1.6601635339E-02    7.9213717223E-04    3.1519025854E-03   -1.5071994438E-03
    6.0000000000E-02    1.6419377203E-02    8.5320078172E-04    3.2173565920E-03   -1.5446223230E-03
    6.2500000000E-02    1.6207379595E-02    9.1406756525E-04    3.2776445497E-03   -1.5779490245E-03
    6.5000000000E-02    1.5972275281E-02    9.7447013867E-04    3.3330303019E-03   -1.6075308071E-03
    6.7500000000E-02    1.5719596383E-02    1.0341956173E-03    3.3837871363E-03   -1.6337118061E-03
    7.0000000000E-02    1.5453771864E-02    1.0931219166E-03    3.4301855516E-03   -1.6568426677E-03
    7.2500000000E-02    1.5179036550E-02    1.1509705609E-03    3.4724906438E-03   -1.6771543032E-03
    7.5000000000E-02    1.4898891049E-02    1.2077763056E-03    3.5110370349E-03   -1.6950841653E-03
    7.7500000000E-02    1.4615068543E-02    1.2629977390E-03    3.5453755365E-03   -1.7103056116E-03
    8.0000000000E-02    1.4331242972E-02    1.3169059364E-03    3.5764836257E-03   -1.7236301632E-03
    8.2500000000E-02    1.4048985905E-02    1.3692937016E-03    3.6045962161E-03   -1.7351483370E-03
    8.5000000000E-02    1.3769685679E-02    1.4201765145E-03    3.6300235347E-03   -1.7450939859E-03
    8.7500000000E-02    1.3494291261E-02    1.4695483281E-03    3.6529981872E-03   -1.7536251514E-03
    9.0000000000E-02    1.3223460389E-02    1.5172840458E-03    3.6737269427E-03   -1.7607984055E-03
    9.2500000000E-02    1.2959652820E-02    1.5630617261E-03    3.6919629206E-03   -1.7665635076E-03
    9.5000000000E-02    1.2701914365E-02    1.6071576957E-03    3.7084203057E-03   -1.7712541088E-03
    9.7500000000E-02    1.2450616689E-02    1.6496717380E-03    3.7232878214E-03   -1.7750325538E-03
    1.0000000000E-01    1.2205872502E-02    1.6906640630E-03    3.7367282047E-03   -1.7780151311E-03
    1.0250000000E-01    1.1968455652E-02    1.7298002022E-03    3.7485110759E-03   -1.7800443352E-03
    1.0500000000E-01    1.1739223880E-02    1.7670906966E-03    3.7587173319E-03   -1.7812604929E-03
    1.0750000000E-01    1.1516432628E-02    1.8028856042E-03    3.7677765556E-03   -1.7818730651E-03
    1.1000000000E-01    1.1299921091E-02    1.8372323010E-03    3.7757444813E-03   -1.7819266797E-03
    1.1250000000E-01    1.1091242568E-02    1.8698350749E-03    3.7824175217E-03   -1.7813813301E-03
    1.1500000000E-01    1.0889778864E-02    1.9007044653E-03    3.7878836302E-03   -1.7802778098E-03
    1.1750000000E-01    1.0694196880E-02    1.9302909005E-03    3.7924840938E-03   -1.7788209096E-03
    1.2000000000E-01    1.0504595922E-02    1.9586062887E-03    3.7962395738E-03   -1.7770485772E-03
    1.2250000000E-01    1.0323251964E-02    1.9849425162E-03    3.7986318442E-03   -1.7747566200E-03
    1.2500000000E-01    1.0147275847E-02    2.0101739010E-03    3.8003151234E-03   -1.7722419757E-03
    1.2750000000E-01    9.9762576379E-03    2.0343995644E-03    3.8013671694E-03   -1.7695411332E-03
    1.3000000000E-01    9.8135598962E-03    2.0566879990E-03    3.8011327397E-03   -1.7663979548E-03
    1.3250000000E-01    9.6555832007E-03    2.0780462960E-03    3.8003625357E-03   -1.7631042694E-03
